Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,3003148288
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,38161498112
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,16274195456
LRCX,Lam Research,Information Technology,Semiconductor Equipment,36557598720
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,7607172096
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,34184552448
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,3519890944
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,13752699904
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,15345692672
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,152295522304
LNC,Lincoln National,Financials,Multi-line Insurance,6328086016
LIN,Linde plc,Materials,Industrial Gases,95893528576
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,8623315968
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,7173644800
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,101068775424
L,Loews Corp.,Financials,Multi-line Insurance,8389428736
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,85898092544
LYB,LyondellBasell,Materials,Specialty Chemicals,17881923584
MTB,M&T Bank Corp.,Financials,Regional Banks,11431690240
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,4433650176
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,19702906880
MKTX,MarketAxess,Financials,Financial Exchanges & Data,18502072320
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",25862660096
MMC,Marsh & McLennan,Financials,Insurance Brokers,52909682688
MLM,Martin Marietta Materials,Materials,Construction Materials,10460912640
MAS,Masco Corp.,Industrials,Building Products,11267614720
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,279983259648
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,23644286976
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,13880497152
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,129237458944
MCK,McKesson Corp.,Health Care,Health Care Distributors,22037219328
MDT,Medtronic plc,Health Care,Health Care Equipment,125828562944
MRK,Merck & Co.,Health Care,Pharmaceuticals,201372696576
MET,MetLife Inc.,Financials,Life & Health Insurance,28788721664
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,16704171008
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,6831069184
MCHP,Microchip Technology,Information Technology,Semiconductors,20444352512
MU,Micron Technology,Information Technology,Semiconductors,49392357376
MSFT,Microsoft Corp.,Information Technology,Systems Software,1388982829056
MAA,Mid-America Apartments,Real Estate,Residential REITs,12220691456
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,5451309056
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,7942692864
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,71315898368
MNST,Monster Beverage,Consumer Staples,Soft Drinks,34758492160
MCO,Moody's Corp,Financials,Financial Exchanges & Data,47120625664
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,58756362240
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,3820521472
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,21950550016
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,28524523520
MYL,Mylan N.V.,Health Care,Pharmaceuticals,7836871168
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,18389078016
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,4472329216
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",9373480960
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,199754579968
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,4961969664
NEM,Newmont Corporation,Materials,Gold,54495522816
NWSA,News Corp. Class A,Communication Services,Publishing,6451453952
NWS,News Corp. Class B,Communication Services,Publishing,6374151680
NEE,NextEra Energy,Utilities,Multi-Utilities,111521185792
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,4530809856
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",135272054784
NI,NiSource Inc.,Utilities,Multi-Utilities,8563214336
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,4158990336
JWN,Nordstrom,Consumer Discretionary,Department Stores,2559384064
NSC,Norfolk Southern Corp.,Industrials,Railroads,41080864768
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,14798738432
NOC,Northrop Grumman,Industrials,Aerospace & Defense,53616689152
NLOK,NortonLifeLock,Information Technology,Application Software,12022689792
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2799265792
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,7957236224
NUE,Nucor Corp.,Materials,Steel,11464209408
NVDA,Nvidia Corporation,Information Technology,Semiconductors,208918298624
NVR,NVR Inc,Consumer Discretionary,Homebuilding,10288112640
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,30218725376
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,12669857792
ODFL,Old Dominion Freight Line,Industrials,Trucking,17580148736
OMC,Omnicom Group,Communication Services,Advertising,10907004928
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,13406447616
ORCL,Oracle Corp.,Information Technology,Application Software,166887456768
OTIS,Otis Worldwide,Industrials,Industrial Machinery,21173231616
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,23104935936
PKG,Packaging Corporation of America,Materials,Paper Packaging,8623107072
PH,Parker-Hannifin,Industrials,Industrial Machinery,19654383616
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,22753292288
PAYC,Paycom,Information Technology,Application Software,15325576192
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,170825826304
PNR,Pentair plc,Industrials,Industrial Machinery,5550130176
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,4535347200
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,189568679936
PKI,PerkinElmer,Health Care,Health Care Equipment,10343304192
PRGO,Perrigo,Health Care,Pharmaceuticals,7191873024
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,209750360064
PM,Philip Morris International,Consumer Staples,Tobacco,105542270976
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,30973358080
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,8034249728
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,13660549120
PNC,PNC Financial Services,Financials,Regional Banks,41259286528
PPG,PPG Industries,Materials,Specialty Chemicals,20506427392
PPL,PPL Corp.,Utilities,Electric Utilities,18842406912
PFG,Principal Financial Group,Financials,Life & Health Insurance,9270431744
PG,Procter & Gamble,Consumer Staples,Personal Products,283733098496
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,44605558784
PLD,Prologis,Real Estate,Industrial REITs,61509107712
PRU,Prudential Financial,Financials,Life & Health Insurance,20907350016
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,22985711616
PSA,Public Storage,Real Estate,Specialized REITs,30758322176
PHM,PulteGroup,Consumer Discretionary,Homebuilding,7433090048
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2852380928
QRVO,Qorvo,Information Technology,Semiconductors,10956526592
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,4313857024
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,85235949568
DGX,Quest Diagnostics,Health Care,Health Care Services,14854950912
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4821323776
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,8364372992
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,79894388736
O,Realty Income Corporation,Real Estate,Retail REITs,17167366144
REG,Regency Centers Corporation,Real Estate,Retail REITs,6244043264
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,64893685760
RF,Regions Financial Corp.,Financials,Regional Banks,8819459072
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,25296254976
RMD,ResMed,Health Care,Health Care Equipment,23742910464
RHI,Robert Half International,Industrials,Human Resource & Employment Services,5173134336
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,22918094848
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,13110680576
ROP,Roper Technologies,Industrials,Industrial Conglomerates,37739515904
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,30318065664
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7831431680
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,73026428928
CRM,Salesforce.com,Information Technology,Application Software,154005962752
SBAC,SBA Communications,Real Estate,Specialized REITs,31712663552
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,22135570432
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",12258975744
SEE,Sealed Air,Materials,Paper Packaging,4476868096
SRE,Sempra Energy,Utilities,Multi-Utilities,34869932032
